番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
helwa	226	【英語史の輪 #226】ch- よもやま話	<a href='https://voicy.jp/channel/1950/6283684'>play link</a>	2024/12/19	20	98
heldio	1299	#1299. 書き言葉の3つの機能	<a href='https://voicy.jp/channel/1950/6284830'>play link</a>	2024/12/19	15	547
heldio	1298	#1298. 保坂先生とのアフタートークでコメント返し	<a href='https://voicy.jp/channel/1950/6267780'>play link</a>	2024/12/18	33	789
helwa	225	【英語史の輪 #225】ヘルメイト活動月間＆解剖図鑑（生配信）	<a href='https://voicy.jp/channel/1950/6283013'>play link</a>	2024/12/17	29	50
heldio	1297	#1297. 12月21日（土）の朝カル講座「英語，ラテン・ギリシア語に憧れる」に向けて	<a href='https://voicy.jp/channel/1950/6281429'>play link</a>	2024/12/17	16	526
heldio	1296	#1296. 川上さんの「英語のなぜ5分版」やってます通信 --- 第9弾	<a href='https://voicy.jp/channel/1950/6282799'>play link</a>	2024/12/16	21	648
heldio	1295	#1295. コメント返し 2024/12/15(Sun)	<a href='https://voicy.jp/channel/1950/6271197'>play link</a>	2024/12/15	31	603
helwa	224	【英語史の輪 #224】忘年会シーズンですね，音読系hel活でも？	<a href='https://voicy.jp/channel/1950/6280296'>play link</a>	2024/12/14	20	87
heldio	1294	#1294. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 高橋真理子先生とのヨーロッパと中東の英語をめぐる対談	<a href='https://voicy.jp/channel/1950/6271485'>play link</a>	2024/12/14	23	783
heldio	1293	#1293. 助動詞 do の文法化 --- 保坂先生との対談	<a href='https://voicy.jp/channel/1950/6266352'>play link</a>	2024/12/13	28	2106
helwa	223	【英語史の輪 #223】高校生からの素朴な疑問 --- 川上さん通信 (12)	<a href='https://voicy.jp/channel/1950/6271381'>play link</a>	2024/12/12	20	98
heldio	1292	#1292. 佐久平千本ノック (2) --- 小中学生の皆からの素朴な疑問	<a href='https://voicy.jp/channel/1950/6260029'>play link</a>	2024/12/12	48	568
heldio	1291	#1291. 田中 智之・縄田 裕幸・柳 朋宏（著）『生成文法と言語変化』（開拓社，2024年）	<a href='https://voicy.jp/channel/1950/6269313'>play link</a>	2024/12/11	14	597
helwa	222	【英語史の輪 #222】佐久平千本ノックを終えて --- みーさんとの反省会・感想会	<a href='https://voicy.jp/channel/1950/6260560'>play link</a>	2024/12/10	32	172
heldio	1290	#1290. 冠詞の文法化 --- 保坂先生との対談	<a href='https://voicy.jp/channel/1950/6260162'>play link</a>	2024/12/10	26	1320
heldio	1289	#1289. 佐久平千本ノック (1) --- 小中学生の皆からの素朴な疑問 1時間	<a href='https://voicy.jp/channel/1950/6258554'>play link</a>	2024/12/09	0	747
heldio	1288	#1288. 川上さんとの対談 (2) --- 「英語史クイズ」インタビュー	<a href='https://voicy.jp/channel/1950/6226789'>play link</a>	2024/12/08	31	483
helwa	221	【英語史の輪 #221】お昼の helwa ＠福井 --- いのほた300回記念公開収録＆ライブのお知らせと発酵の話し	<a href='https://voicy.jp/channel/1950/6258923'>play link</a>	2024/12/07	20	95
heldio	1287	#1287. 英語に関する素朴な疑問　千本ノック at 目白大学 --- Part 2	<a href='https://voicy.jp/channel/1950/6246968'>play link</a>	2024/12/07	39	961
heldio	1286	#1286. come と some の綴字のナゾ --- 縦棒回避と語尾の -e	<a href='https://voicy.jp/channel/1950/6249221'>play link</a>	2024/12/06	17	686
helwa	220	【英語史の輪 #220】お昼の helwa 雑談生配信	<a href='https://voicy.jp/channel/1950/6249206'>play link</a>	2024/12/05	25	54
heldio	1285	#1285. 川上さんの「英語のなぜ5分版」やってます通信 --- 第8弾	<a href='https://voicy.jp/channel/1950/6228281'>play link</a>	2024/12/05	19	682
heldio	1284	#1284. 英語に関する素朴な疑問　千本ノック at 目白大学 --- Part 1	<a href='https://voicy.jp/channel/1950/6249323'>play link</a>	2024/12/04	54	1311
helwa	219	【英語史の輪 #219】「大文字の存在意義は？」から「新宿オフ会2次会での kagata さんの性と有標性をめぐる問題提起」まで	<a href='https://voicy.jp/channel/1950/6227747'>play link</a>	2024/12/03	3	92
heldio	1283	#1283. みーさんとの対談 --- 12月8日（日）の佐久平千本ノックに向けて	<a href='https://voicy.jp/channel/1950/6245958'>play link</a>	2024/12/03	23	589
heldio	1282	#1282. 月刊 Helvillian 第2号が公開されました --- ヘルメイトさんによる自主的なhel活	<a href='https://voicy.jp/channel/1950/6246877'>play link</a>	2024/12/02	16	417
heldio	1281	#1281. コメント返し 2024/12/01(Sun)	<a href='https://voicy.jp/channel/1950/6231599'>play link</a>	2024/12/01	36	664
helwa	218	【英語史の輪 #218】濃いめの言語学雑談 at 新宿オフ会・小忘年会	<a href='https://voicy.jp/channel/1950/6246792'>play link</a>	2024/12/01	55	50
heldio	1280	"#1280. 引用後の ""..."" said he という語順"	<a href='https://voicy.jp/channel/1950/6228511'>play link</a>	2024/11/30	23	813
heldio	1279	#1279. 英文法におけるフランス語の影響 --- 月刊『ふらんす』の連載記事第9弾	<a href='https://voicy.jp/channel/1950/6228841'>play link</a>	2024/11/29	16	615
helwa	217	【英語史の輪 #217】高校生からの素朴な疑問 --- 川上さん通信 (11)	<a href='https://voicy.jp/channel/1950/6231311'>play link</a>	2024/11/28	22	111
heldio	1278	#1278. 川上さんとの対談 (1) --- 「やってます通信」インタビュー	<a href='https://voicy.jp/channel/1950/6227287'>play link</a>	2024/11/28	33	520
heldio	1277	#1277. 11月30日（土）の朝カル講座「英語，オランダ語と交流する」に向けて	<a href='https://voicy.jp/channel/1950/6207312'>play link</a>	2024/11/27	15	506
helwa	216	【英語史の輪 #216】川上さんとの対談収録のアフタートーク	<a href='https://voicy.jp/channel/1950/6226791'>play link</a>	2024/11/26	34	84
heldio	1276	#1276. 東京ポニークラス慶友会での千本ノック (2)	<a href='https://voicy.jp/channel/1950/6206357'>play link</a>	2024/11/26	42	906
heldio	1275	#1275. コメント返し 2024/11/25(Mon)	<a href='https://voicy.jp/channel/1950/6219597'>play link</a>	2024/11/25	39	688
heldio	1274	#1274. 英語史の古典的名著 Baugh and Cable を読む (60-2) Latin Influence of the Second Period --- Taku さん対談精読実況中継 1時間	<a href='https://voicy.jp/channel/1950/6220360'>play link</a>	2024/11/24	3	428
helwa	215	【英語史の輪 #215】taku さんとの対談生配信 --- 53分のフリートーク	<a href='https://voicy.jp/channel/1950/6220368'>play link</a>	2024/11/23	54	42
heldio	1273	#1273. 「英語史ライヴ2024」のフィナーレ with 井上先生＆3Ms	<a href='https://voicy.jp/channel/1950/6053341'>play link</a>	2024/11/23	38	438
heldio	1272	#1272. 川上さんの「英語のなぜ5分版」やってます通信 --- 第7弾	<a href='https://voicy.jp/channel/1950/6206810'>play link</a>	2024/11/22	23	614
helwa	214	【英語史の輪 #214】リテラシーの話し	<a href='https://voicy.jp/channel/1950/6214922'>play link</a>	2024/11/22	17	80
heldio	1271	#1271. B&C 60 の芝居がかった部分のレトリック --- 昨日お届けした精読回に反応いただきました	<a href='https://voicy.jp/channel/1950/6214279'>play link</a>	2024/11/21	17	495
heldio	1270	#1270. 英語史の古典的名著 Baugh and Cable を読む (60-1) Latin Influence of the Second Period --- 対談精読実況中継	<a href='https://voicy.jp/channel/1950/6196109'>play link</a>	2024/11/20	59	1159
helwa	213	【英語史の輪 #213】目白大学にお邪魔してきました	<a href='https://voicy.jp/channel/1950/6209360'>play link</a>	2024/11/19	37	53
heldio	1269	#1269. 東京ポニークラス慶友会での千本ノック (1)	<a href='https://voicy.jp/channel/1950/6206808'>play link</a>	2024/11/19	51	1185
heldio	1268	#1268. khelf 杯「英語史クイズ大会」 --- 「英語史ライヴ2024」より 1時間	<a href='https://voicy.jp/channel/1950/6049638'>play link</a>	2024/11/18	4	467
heldio	1267	#1267. コメント返し 2024/11/17(Sun)	<a href='https://voicy.jp/channel/1950/6203359'>play link</a>	2024/11/17	31	552
helwa	212	【英語史の輪 #212】収録会でのおしゃべりノック	<a href='https://voicy.jp/channel/1950/6198546'>play link</a>	2024/11/16	41	167
heldio	1266	#1266. chair と sit --- 『英語語源辞典』精読会 with lacolaco さんたち	<a href='https://voicy.jp/channel/1950/6200842'>play link</a>	2024/11/16	37	901
heldio	1265	#1265. 川上さんの「英語のなぜ5分版」やってます通信 --- 第6弾	<a href='https://voicy.jp/channel/1950/6191048'>play link</a>	2024/11/15	17	508
helwa	211	【英語史の輪 #211】本日の収録会後の懇親	<a href='https://voicy.jp/channel/1950/6198906'>play link</a>	2024/11/15	28	94
heldio	1264	#1264. 『英語語源辞典』通読はキツい，無理！	<a href='https://voicy.jp/channel/1950/6192536'>play link</a>	2024/11/14	16	610
heldio	1263	#1263. 英語史クイズの予習会 (2) --- 「英語史ライヴ2024」の裏番組より	<a href='https://voicy.jp/channel/1950/6136383'>play link</a>	2024/11/13	29	938
helwa	210	【英語史の輪 #210】いのほた「515通りの through 回」の深掘り解説	<a href='https://voicy.jp/channel/1950/6193837'>play link</a>	2024/11/12	20	96
heldio	1262	#1262. fifth の経た音変化は異化	<a href='https://voicy.jp/channel/1950/6192326'>play link</a>	2024/11/12	16	665
heldio	1261	#1261. five の経た音変化は同化，同化，同化	<a href='https://voicy.jp/channel/1950/6190530'>play link</a>	2024/11/11	14	710
heldio	1260	#1260. コメント返し 2024/11/10(Sun)	<a href='https://voicy.jp/channel/1950/6187241'>play link</a>	2024/11/10	36	757
helwa	209	【英語史の輪 #209】印欧祖語には○○の単語があった！	<a href='https://voicy.jp/channel/1950/6190440'>play link</a>	2024/11/09	18	133
heldio	1259	#1259. 印欧祖語には○○の単語がなかった！	<a href='https://voicy.jp/channel/1950/6186622'>play link</a>	2024/11/09	15	892
heldio	1258	#1258. 古英語の4つの文字を紹介 with 小河舜さん	<a href='https://voicy.jp/channel/1950/6168512'>play link</a>	2024/11/08	20	601
helwa	208	【英語史の輪 #208】形容詞の意味と主観化	<a href='https://voicy.jp/channel/1950/6186474'>play link</a>	2024/11/07	30	129
heldio	1257	#1257. 川上さんの「英語のなぜ5分版」やってます通信 --- 第5弾	<a href='https://voicy.jp/channel/1950/6177448'>play link</a>	2024/11/07	24	672
heldio	1256	#1256. 英語史クイズの予習会 (1) --- 「英語史ライヴ2024」の裏番組より	<a href='https://voicy.jp/channel/1950/6137869'>play link</a>	2024/11/06	36	787
helwa	207	【英語史の輪 #207】ネイティヴのような英語発音を習得すべきか否か？	<a href='https://voicy.jp/channel/1950/6177714'>play link</a>	2024/11/05	18	93
heldio	1255	#1255. 10月，Mond で5件の質問に回答しました	<a href='https://voicy.jp/channel/1950/6178398'>play link</a>	2024/11/05	18	575
heldio	1254	#1254. 今村洋美先生・和田忍先生との『World Englishes 入門』対談 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6052895'>play link</a>	2024/11/04	32	550
heldio	1253	#1253. コメント返し 2024/11/03(Sun)	<a href='https://voicy.jp/channel/1950/6176342'>play link</a>	2024/11/03	39	725
helwa	206	【英語史の輪 #206】日英語対照，音位転換の秘密（生配信）	<a href='https://voicy.jp/channel/1950/6177803'>play link</a>	2024/11/02	36	65
heldio	1252	#1252. 古英語LINEスタンプの gaers （草）とは何？ with 小河舜さん	<a href='https://voicy.jp/channel/1950/6171839'>play link</a>	2024/11/02	22	672
heldio	1251	#1251. 川上さんの「英語のなぜ5分版」やってます通信 --- 第4弾	<a href='https://voicy.jp/channel/1950/6160326'>play link</a>	2024/11/01	20	686
helwa	205	【英語史の輪 #205】身近な社会言語学 --- オフ会に参加したプログラマー・リスナーからのお題	<a href='https://voicy.jp/channel/1950/6159467'>play link</a>	2024/10/31	20	159
heldio	1250	#1250. 近代英語の魅力を語る 秋元先生・田辺先生・福元先生との対談 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6052886'>play link</a>	2024/10/31	58	557
heldio	1249	#1249. 古英語で「了解！」 --- 古英語LINEスタンプの文言解説シリーズ	<a href='https://voicy.jp/channel/1950/6136539'>play link</a>	2024/10/30	18	490
helwa	204	【英語史の輪 #204】祝・Helvillian 創刊	<a href='https://voicy.jp/channel/1950/6164857'>play link</a>	2024/10/29	20	87
heldio	1248	#1248. 月刊誌 Helvillian 創刊！ --- helwa リスナー有志によるウェブマガジン	<a href='https://voicy.jp/channel/1950/6159134'>play link</a>	2024/10/29	19	535
heldio	1247	#1247. 言語は数えられない！？ --- khelf 藤原郁弥さんと青木輝さんとの激論	<a href='https://voicy.jp/channel/1950/6135333'>play link</a>	2024/10/28	23	756
heldio	1246	#1246. コメント返し 2024/10/27(Sun)	<a href='https://voicy.jp/channel/1950/6160801'>play link</a>	2024/10/27	45	821
helwa	203	【英語史の輪 #203】商標言語学で千本ノック --- 定例オフ会に五所万実さん登場	<a href='https://voicy.jp/channel/1950/6159373'>play link</a>	2024/10/27	57	43
heldio	1245	#1245. 保坂道雄先生との「文法化入門」対談 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6047249'>play link</a>	2024/10/26	29	947
heldio	1244	#1244. 小河舜さんと古英語の句読点を語る --- Wulfstan のリズムと文体より	<a href='https://voicy.jp/channel/1950/6138840'>play link</a>	2024/10/25	37	944
helwa	202	【英語史の輪 #202】名前ソート文化雑感	<a href='https://voicy.jp/channel/1950/6151423'>play link</a>	2024/10/24	20	94
heldio	1243	#1243. なぜ英語には単数形と複数形の区別があるの？ --- 中学生のための英語史	<a href='https://voicy.jp/channel/1950/6146341'>play link</a>	2024/10/24	18	1531
heldio	1242	#1242. 川上さんの「英語のなぜ5分版」やってます通信 --- 第3弾	<a href='https://voicy.jp/channel/1950/6147347'>play link</a>	2024/10/23	25	744
helwa	201	【英語史の輪 #201】イギリス地名と英語史	<a href='https://voicy.jp/channel/1950/6145099'>play link</a>	2024/10/22	20	112
heldio	1241	#1241. 著者と語る『ハリウッド映画と英語の変化』（開拓社，2024年） --- 山口美知代先生との対談	<a href='https://voicy.jp/channel/1950/6119293'>play link</a>	2024/10/22	19	590
heldio	1240	#1240. 『英語語源辞典』の「語源学解説」精読 (2) --- KDEE の編集方針を理解しよう	<a href='https://voicy.jp/channel/1950/6128764'>play link</a>	2024/10/21	35	866
heldio	1239	#1239. コメント返し 2024/10/20(Sun)	<a href='https://voicy.jp/channel/1950/6144830'>play link</a>	2024/10/20	38	688
helwa	200	【英語史の輪 #200】「否定」について語りませんか？	<a href='https://voicy.jp/channel/1950/6144329'>play link</a>	2024/10/19	24	118
heldio	1238	#1238. 10月26日（土）の朝カル講座「英語，フランス語に侵される」に向けて	<a href='https://voicy.jp/channel/1950/6141359'>play link</a>	2024/10/19	15	524
heldio	1237	#1237. 英語史でいちばん感動したことは何ですか？ --- 「英語史ライヴ2024」裏番組より	<a href='https://voicy.jp/channel/1950/6125999'>play link</a>	2024/10/18	29	846
helwa	199	【英語史の輪 #199】小河舜さんのスペイン学会土産話	<a href='https://voicy.jp/channel/1950/6139333'>play link</a>	2024/10/17	40	66
heldio	1236	#1236. mine を『英語語源辞典』で読み解く	<a href='https://voicy.jp/channel/1950/6132333'>play link</a>	2024/10/17	19	913
heldio	1235	#1235. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 山口美知代先生との中華世界の英語をめぐる対談	<a href='https://voicy.jp/channel/1950/6119292'>play link</a>	2024/10/16	16	624
helwa	198	【英語史の輪 #198】生配信の雑談・対談回 with umisio さん	<a href='https://voicy.jp/channel/1950/6133376'>play link</a>	2024/10/15	37	44
heldio	1234	#1234. 激論「AI時代の語学を考える」 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6049626'>play link</a>	2024/10/15	46	571
heldio	1233	#1233. case が「格」？ --- 文法用語を考える	<a href='https://voicy.jp/channel/1950/6128535'>play link</a>	2024/10/14	15	713
heldio	1232	#1232. コメント返し 2024/10/13(Sun)	<a href='https://voicy.jp/channel/1950/6126013'>play link</a>	2024/10/13	31	605
helwa	197	【英語史の輪 #197】高校生からの素朴な疑問 --- 川上さん通信 (10)	<a href='https://voicy.jp/channel/1950/6126005'>play link</a>	2024/10/12	18	99
heldio	1231	#1231. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 山口美知代先生とのカリブ海の英語をめぐる対談	<a href='https://voicy.jp/channel/1950/6118308'>play link</a>	2024/10/12	14	588
heldio	1230	#1230. どの英語を教えればいいの？ --- 「英語史ライヴ2024」裏番組より	<a href='https://voicy.jp/channel/1950/6113194'>play link</a>	2024/10/11	50	1079
helwa	196	【英語史の輪 #196】音素配列論について雑感 --- 千本ノックはうまく音が録れておらずすみませんでした	<a href='https://voicy.jp/channel/1950/6125325'>play link</a>	2024/10/10	20	114
heldio	1229	#1229. heldio 2024年第3四半期のリスナー投票開票結果	<a href='https://voicy.jp/channel/1950/6120969'>play link</a>	2024/10/10	20	654
heldio	1228	#1228. 川上さんの「英語のなぜ5分版」やってます通信 --- 第2弾	<a href='https://voicy.jp/channel/1950/6114953'>play link</a>	2024/10/09	21	754
helwa	195	【英語史の輪 #195】a friend of mine 問題	<a href='https://voicy.jp/channel/1950/6116846'>play link</a>	2024/10/08	35	183
heldio	1227	#1227. 古英語LINEスタンプのお披露目 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6047242'>play link</a>	2024/10/08	36	506
heldio	1226	#1226. フランス語は英語の音韻感覚を激変させた --- 月刊『ふらんす』の連載記事第7弾	<a href='https://voicy.jp/channel/1950/6113064'>play link</a>	2024/10/07	20	654
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (59) Latin through Celtic Transmission	<a href='https://voicy.jp/channel/1950/6112946'>play link</a>	2024/10/06	28	34
heldio	1225	#1225. コメント返し 2024/10/06(Sun)	<a href='https://voicy.jp/channel/1950/6113403'>play link</a>	2024/10/06	35	775
helwa	194	【英語史の輪 #194】高校生からの素朴な疑問 --- 川上さん通信 (9)	<a href='https://voicy.jp/channel/1950/6112929'>play link</a>	2024/10/05	26	123
heldio	1224	#1224. なぜ doctor は -er ではなく -or なの？ --- ゼミ合宿企画より	<a href='https://voicy.jp/channel/1950/6074311'>play link</a>	2024/10/05	18	1026
heldio	1223	#1223. 私と heldio/helwa --- 「英語史ライヴ2024」裏番組より	<a href='https://voicy.jp/channel/1950/6108829'>play link</a>	2024/10/04	27	675
helwa	193	【英語史の輪 #193】2重語とは何か？ --- 音韻変化と形態置換	<a href='https://voicy.jp/channel/1950/6106098'>play link</a>	2024/10/03	27	126
heldio	1222	#1222. helwa コンテンツの講評 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6053307'>play link</a>	2024/10/03	43	474
heldio	1221	#1221. 中高生への英語史導入のコツ --- 川上さんの「英語のなぜ5分版」やってます通信のご紹介	<a href='https://voicy.jp/channel/1950/6084026'>play link</a>	2024/10/02	26	793
helwa	192	【英語史の輪 #192】2重語とは何か？ --- camp と campus を題材に	<a href='https://voicy.jp/channel/1950/6102856'>play link</a>	2024/10/01	22	144
heldio	1220	#1220. heldio 2024年第3四半期のベスト回を決めるリスナー投票 --- 10月8日までオープン	<a href='https://voicy.jp/channel/1950/6096194'>play link</a>	2024/10/01	26	597
heldio	1219	#1219. 「はじめての古英語」第10弾 with 小河舜さん&まさにゃん --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6049608'>play link</a>	2024/09/30	44	556
heldio	1218	#1218. コメント返し 2024/09/29(Sun)	<a href='https://voicy.jp/channel/1950/6096385'>play link</a>	2024/09/29	29	567
helwa	191	【英語史の輪 #191】Discord helville へのお誘いがてら新宿オフ会生配信	<a href='https://voicy.jp/channel/1950/6096426'>play link</a>	2024/09/29	0	92
heldio	1217	#1217. イチオシの英語本を教えて！ --- 「英語史ライヴ2024」裏番組より	<a href='https://voicy.jp/channel/1950/6087878'>play link</a>	2024/09/28	22	561
heldio	1216	#1216. 『英語史新聞』第10号と号外のお披露目 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6052865'>play link</a>	2024/09/27	31	386
helwa	190	【英語史の輪 #190】形容詞 + 不定詞補文	<a href='https://voicy.jp/channel/1950/6084211'>play link</a>	2024/09/26	18	81
heldio	1215	#1215. 上級生から堀田ゼミのリアルを聞こう！ --- ゼミ合宿企画より	<a href='https://voicy.jp/channel/1950/6075300'>play link</a>	2024/09/26	22	545
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (58) Continental Borrowing (Latin Influence of the Zero Period)	<a href='https://voicy.jp/channel/1950/6084140'>play link</a>	2024/09/25	30	27
heldio	1214	#1214. 教えて khelf 会長！ 天候の it って何？ --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6053803'>play link</a>	2024/09/25	26	583
helwa	189	【英語史の輪 #189】ヘルメイト裏番組収録の魅力	<a href='https://voicy.jp/channel/1950/6083973'>play link</a>	2024/09/24	18	78
heldio	1213	#1213. ヘルメイトの皆さんに質問，あなたはいつ英語学習を始めましたか？ --- 「英語史ライヴ2024」裏番組より	<a href='https://voicy.jp/channel/1950/6076753'>play link</a>	2024/09/24	38	752
heldio	1212	#1212. 『英語語源辞典』の「語源学解説」精読 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6052858'>play link</a>	2024/09/23	51	513
helwa	188	【英語史の輪 #188】次々と難問が寄せられてくる helwa コミュニティの沼	<a href='https://voicy.jp/channel/1950/6081557'>play link</a>	2024/09/22	20	93
heldio	1211	#1211. コメント返し 2024/09/22(Sun)	<a href='https://voicy.jp/channel/1950/6081449'>play link</a>	2024/09/22	23	455
helwa	187	【英語史の輪 #187】helwa コミュニティの動きに感嘆！	<a href='https://voicy.jp/channel/1950/6082338'>play link</a>	2024/09/21	24	127
heldio	1210	#1210. 9月28日（土）の朝カル講座「英語，ヴァイキングの言語と交わる」に向けて	<a href='https://voicy.jp/channel/1950/6081337'>play link</a>	2024/09/21	14	648
heldio	1209	#1209. 『はじめての英語史』の狙い --- 今朝の読売サンヤツで『英語語源辞典』とともに拙著が掲載されています	<a href='https://voicy.jp/channel/1950/6076852'>play link</a>	2024/09/20	30	952
helwa	186	【英語史の輪 #186】「英語史」の枠を広げたい	<a href='https://voicy.jp/channel/1950/6076844'>play link</a>	2024/09/19	29	125
heldio	1208	#1208. khelf ゼミ合宿2024秋 at 伊東 --- Day 2	<a href='https://voicy.jp/channel/1950/6074312'>play link</a>	2024/09/19	24	512
heldio	1207	#1207. 「英語史ライヴ2024」リスナープレゼント抽選会 --- khelf ゼミ合宿より	<a href='https://voicy.jp/channel/1950/6071490'>play link</a>	2024/09/18	17	607
heldio	1206	#1206. khelf ゼミ合宿2024秋 at 伊東 --- Day 1	<a href='https://voicy.jp/channel/1950/6071340'>play link</a>	2024/09/17	14	601
heldio	1205	#1205. Baugh and Cable 第57節を対談精読実況生中継 --- 「英語史ライヴ2024」より	<a href='https://voicy.jp/channel/1950/6052851'>play link</a>	2024/09/16	54	454
heldio	1204	#1204. コメント返し 2024/09/15(Sun)	<a href='https://voicy.jp/channel/1950/6061732'>play link</a>	2024/09/15	30	480
helwa	185	【英語史の輪 #185】来週以降のhel活もアツい	<a href='https://voicy.jp/channel/1950/6061727'>play link</a>	2024/09/14	27	134
heldio	1203	#1203. 「英語史ライヴ2024」の早朝，つなぎの雑談生配信	<a href='https://voicy.jp/channel/1950/6053782'>play link</a>	2024/09/14	18	391
heldio	1202	#1202. 『文藝春秋』10月号で古英語・中英語が必修なので「エグい専攻」として紹介されています	<a href='https://voicy.jp/channel/1950/6062801'>play link</a>	2024/09/13	16	690
helwa	184	【英語史の輪 #184】オンラインKDEE読書会がヘルメイトの手で復活する？	<a href='https://voicy.jp/channel/1950/6057212'>play link</a>	2024/09/12	13	93
heldio	1201	#1201. 早朝の素朴な疑問「千本ノック」 with 小河舜さん --- 「英語史ライヴ2024」より 1時間	<a href='https://voicy.jp/channel/1950/6053780'>play link</a>	2024/09/12	0	1086
heldio	1200	#1200. 「英語史ライヴ2024」の打ち上げ2次会 --- Part 2	<a href='https://voicy.jp/channel/1950/6052943'>play link</a>	2024/09/11	13	362
helwa	183	【英語史の輪 #183】「英語史ライヴ2024」の振り返り	<a href='https://voicy.jp/channel/1950/6056926'>play link</a>	2024/09/10	27	130
heldio	1199	#1199. 「英語史ライヴ2024」を応援していただいた皆様へ	<a href='https://voicy.jp/channel/1950/6056781'>play link</a>	2024/09/10	24	740
heldio	1198	#1198. 「英語史ライヴ2024」の打ち上げ2次会 --- Part 1	<a href='https://voicy.jp/channel/1950/6049692'>play link</a>	2024/09/09	23	596
heldio	1197	#1197. khelf 主催「英語史ライヴ2024」が始まります	<a href='https://voicy.jp/channel/1950/6047156'>play link</a>	2024/09/08	23	1053
helwa	182	【英語史の輪 #182】明日の「英語史ライヴ2024」は早朝から千本ノック！	<a href='https://voicy.jp/channel/1950/6047154'>play link</a>	2024/09/07	17	125
heldio	1196	#1196. いよいよ明日は「英語史ライヴ2024」 --- フォロワーさんが6000人を突破！	<a href='https://voicy.jp/channel/1950/6050861'>play link</a>	2024/09/07	15	577
heldio	1195	#1195. helwa コンテンツ for 「英語史ライヴ2024」を完走しました	<a href='https://voicy.jp/channel/1950/6047856'>play link</a>	2024/09/06	14	401
helwa	181	【英語史の輪 #181】古英語LINEスタンプがついに完成！	<a href='https://voicy.jp/channel/1950/6046892'>play link</a>	2024/09/05	30	51
heldio	1194	#1194. 「英語史ライヴ2024」の協賛出版社とご提供書籍	<a href='https://voicy.jp/channel/1950/6044304'>play link</a>	2024/09/05	25	712
heldio	1193	#1193. 「英語史ライヴ2024」が4日後に迫りました	<a href='https://voicy.jp/channel/1950/6043365'>play link</a>	2024/09/04	15	560
helwa	180	【英語史の輪 #180】「英語史ライヴ2024」の裏番組企画	<a href='https://voicy.jp/channel/1950/6040023'>play link</a>	2024/09/03	20	100
heldio	1192	#1192. 関係代名詞の文法化	<a href='https://voicy.jp/channel/1950/6039510'>play link</a>	2024/09/03	17	921
heldio	1191	#1191. 言語の線状性をポジティヴに見ると	<a href='https://voicy.jp/channel/1950/6038344'>play link</a>	2024/09/02	14	724
heldio	1190	#1190. コメント返し for 2024/09/01(Sun)	<a href='https://voicy.jp/channel/1950/6034617'>play link</a>	2024/09/01	20	369
helwa	179	【英語史の輪 #179】「英語史ライヴ2024」がいよいよ8日後に	<a href='https://voicy.jp/channel/1950/6034581'>play link</a>	2024/08/31	20	108
heldio	1189	#1189. helwa コンテンツ for 「英語史ライヴ2024」 --- 7本が公開されています	<a href='https://voicy.jp/channel/1950/6031632'>play link</a>	2024/08/31	16	371
heldio	1188	#1188. 夏期スクーリング「英語史」集中講義を終えて	<a href='https://voicy.jp/channel/1950/6031418'>play link</a>	2024/08/30	17	444
helwa	178	【英語史の輪 #178】暗黙知とAI	<a href='https://voicy.jp/channel/1950/6033850'>play link</a>	2024/08/29	29	143
heldio	1187	#1187. 英語のSVO固定語順にフランス語の影響はありそうにない	<a href='https://voicy.jp/channel/1950/6029346'>play link</a>	2024/08/29	14	718
heldio	1186	#1186. フランス語慣れしてきた英語 --- 月刊『ふらんす』の連載記事第6弾	<a href='https://voicy.jp/channel/1950/6027063'>play link</a>	2024/08/28	15	465
helwa	177	【英語史の輪 #177】helwa コンテンツ for 「英語史ライヴ2024」を10倍楽しむ方法	<a href='https://voicy.jp/channel/1950/6027062'>play link</a>	2024/08/28	10	41
heldio	1185	#1185. helwa コンテンツ for 「英語史ライヴ2024」 --- 新企画がスタート！	<a href='https://voicy.jp/channel/1950/6025849'>play link</a>	2024/08/27	10	241
heldio	1184	#1184. コメント返し 2024/08/26(Mon)	<a href='https://voicy.jp/channel/1950/6024277'>play link</a>	2024/08/26	42	778
helwa	176	【英語史の輪 #176】土曜日の helwa オフ会生放送の2次会	<a href='https://voicy.jp/channel/1950/6019170'>play link</a>	2024/08/25	45	127
